System,AIO,,,,,,
Version,0616,,,,,,
Index,Utterance,Intent,Model,Entity,,,
63,播放前一首,HomeControl,1,播放:播放,前首:前一首,,
64,播放下一首,HomeControl,1,播放:播放,後首:下一首,,
65,音樂大聲一點,HomeControl,1,音樂:音樂,大聲:大聲,,
66,最大聲,HomeControl,1,最大聲:最大聲,,,
67,音量變大,HomeControl,1,音量:音量,大聲:變大,,
68,音量小聲一點,HomeControl,1,音量:音量,小聲:小聲,,
69,最小聲,HomeControl,1,最小聲:最小聲,,,
70,音量變小,HomeControl,1,音量:音量,小聲:變小,,
71,靜音,HomeControl,1,靜音:靜音,,,
72,播放浪漫情歌,HomeControl,1,播放:播放,音樂:浪漫情歌,,
73,我要聽爵士樂,HomeControl,1,音樂:爵士,,,
74,來點搖滾歌曲,HomeControl,1,音樂:搖滾,,,
75,我回來了,BackHome,1,回家:回來,,,
76,我到家了,BackHome,1,回家:到家,,,
77,我回家了,BackHome,1,回家:回家,,,
78,我出門了,LeaveHome,1,出門:出門 ,,,
79,我要走了,LeaveHome,1,出門:走了,,,
80,我走了,LeaveHome,1,出門:走了,,,
81,我離開了,LeaveHome,1,出門:離開,,,
82,我出去了,LeaveHome,1,出門:出去,,,
83,是,Confirm,1,,,,
84,要,Confirm,1,,,,
85,好,Confirm,1,,,,
86,不是,Confirm,1,,,,
87,不好,Confirm,1,,,,
88,不要,Confirm,1,,,,
89,都可以,Confirm,1,,,,
90,無所謂,Confirm,1,,,,
91,沒問題,Confirm,1,,,,
92,現在時間,Time,1,時間標記:現在,時間:時間,,
93,現在幾點,Time,1,時間標記:現在,時間:幾點,,
94,現在幾點幾分,Time,1,時間標記:現在,時間:幾點幾分,,
95,今天日期,Time,1,時間標記:今天,日期:日期,,
96,現在幾月,Time,1,時間標記:現在,月份:幾月,,
97,今天幾號,Time,1,時間標記:今天,日期:幾號,,
98,今天星期幾,Time,1,時間標記:今天,星期:星期幾,,
99,報時,Time,1,時間:報時,,,
100,今天天氣如何,Weather,1,時間標記:今天,天氣:天氣,,
101,今天溫度,Weather,1,時間標記:今天,溫度:溫度,,
102,今天路況,Traffic,1,時間標記:今天,路況:路況,,
103,現在路況如何,Traffic,1,時間標記:現在,路況:路況,,
104,今天交通狀況,Traffic,1,時間標記:今天,路況:交通,,
105,午安,Greeting,1,午安:午安,,,
106,中午好,Greeting,1,午安:中午好,,,
107,晚安,Greeting,1,晚安:晚安,,,
108,晚上好,Greeting,1,晚安:晚上好,,,
109,早安,MorningBriefing,1,早安:早安,,,
110,早安會報,MorningBriefing,1,早安:早安,會報:會報,,
111,早,MorningBriefing,1,早安:早,,,
112,說英語,English,1,英語:英語,,,
113,講英文,English,1,英語:英文,,,
114,你好,Hello,1,打招呼:你好,,,
